"impression_id","account_id","impression_ts","ad_type","ad_placement","is_completed","estimated_revenue_usd"
ad_5cd7b615bf194278,acc_00000f89ef0640d5,2026-03-06 13:56:36.000,SPEED_BUFF,idle_boost_popup,true,0.015067
ad_3d461c1725364c6a,acc_00000f89ef0640d5,2026-03-06 14:01:53.000,LUCKY_SPIN,daily_spin_popup,true,0.015755
ad_ec30671c109a42bc,acc_00000f89ef0640d5,2026-03-06 14:06:43.000,DOUBLE_OFFLINE,offline_reward_popup,true,0.021715
ad_c2f5fd5362f04f99,acc_00000f89ef0640d5,2026-03-06 14:06:50.000,FREE_CHEST,daily_free_chest_popup,true,0.016298
ad_5598644ab25649ef,acc_00000f89ef0640d5,2026-03-07 09:58:18.000,FREE_CHEST,daily_free_chest_popup,true,0.016798
ad_55ff9fe87a244888,acc_00000f89ef0640d5,2026-03-07 09:59:07.000,SPEED_BUFF,idle_boost_popup,true,0.016685
ad_e2a5e7026bb74fbf,acc_00000f89ef0640d5,2026-03-07 10:09:53.000,LUCKY_SPIN,daily_spin_popup,true,0.018998
ad_d92fde7803604d81,acc_00000f89ef0640d5,2026-03-07 10:10:59.000,DOUBLE_OFFLINE,offline_reward_popup,true,0.01953
ad_4e07f896590d4ad2,acc_00000f89ef0640d5,2026-03-09 17:44:06.000,FREE_CHEST,daily_free_chest_popup,true,0.015973
ad_df21153d31044837,acc_00000f89ef0640d5,2026-03-09 17:47:57.000,LUCKY_SPIN,daily_spin_popup,true,0.015497
ad_d782f8a3a7e84581,acc_00000f89ef0640d5,2026-03-09 17:56:11.000,DOUBLE_OFFLINE,offline_reward_popup,true,0.021448
ad_827d24accd724bdc,acc_00000f89ef0640d5,2026-03-10 22:02:07.000,DOUBLE_OFFLINE,offline_reward_popup,true,0.019617
ad_9e55d5fd85364d11,acc_00000f89ef0640d5,2026-03-10 22:02:23.000,FREE_CHEST,daily_free_chest_popup,true,0.015254
ad_af3b84376c5a4020,acc_00000f89ef0640d5,2026-03-10 22:04:50.000,SPEED_BUFF,idle_boost_popup,true,0.012249
ad_d0e5a7f720dc4f5b,acc_00000f89ef0640d5,2026-03-10 22:09:27.000,LUCKY_SPIN,daily_spin_popup,true,0.018983
ad_1aa7ef4054f4420f,acc_00006af6462b436e,2026-03-12 20:37:06.000,LUCKY_SPIN,daily_spin_popup,true,0.011122
ad_a7e192ecda344b82,acc_00006af6462b436e,2026-03-12 20:38:38.000,DOUBLE_OFFLINE,offline_reward_popup,true,0.011681
ad_0a0800fffb7b46a6,acc_00006af6462b436e,2026-03-12 20:42:48.000,SPEED_BUFF,idle_boost_popup,true,0.008439
ad_63cd13c3971f4f33,acc_00006af6462b436e,2026-03-12 22:42:00.000,REVIVE,battle_fail_revive_popup,true,0.013163
ad_c5b84be956ef4766,acc_00006af6462b436e,2026-03-13 09:15:40.000,DOUBLE_OFFLINE,offline_reward_popup,true,0.011037
ad_e8e259cf9d354f15,acc_00006af6462b436e,2026-03-13 09:15:47.000,FREE_CHEST,daily_free_chest_popup,true,0.010766
ad_471049d273384aab,acc_00006af6462b436e,2026-03-13 09:22:43.000,LUCKY_SPIN,daily_spin_popup,true,0.009781
ad_18304702a1d748ad,acc_00006c5bf3f44d11,2026-03-11 09:51:53.000,SPEED_BUFF,idle_boost_popup,true,0.017272
ad_581f5aac059d4d8d,acc_00006c5bf3f44d11,2026-03-11 10:01:56.000,LUCKY_SPIN,daily_spin_popup,true,0.015594
ad_09b4524baf4640b9,acc_00006c5bf3f44d11,2026-03-11 10:04:13.000,FREE_CHEST,daily_free_chest_popup,true,0.014721
ad_5de15cf54e1c42ba,acc_00006c5bf3f44d11,2026-03-11 18:29:23.000,REVIVE,battle_fail_revive_popup,true,0.023561
ad_d1a7f9cf8285408e,acc_00006c5bf3f44d11,2026-03-12 12:01:42.000,DOUBLE_OFFLINE,offline_reward_popup,true,0.022189
ad_6f674de8b3754d09,acc_00006c5bf3f44d11,2026-03-12 12:04:41.000,SPEED_BUFF,idle_boost_popup,true,0.013002
ad_f98ac2f1db6f443a,acc_00006c5bf3f44d11,2026-03-12 12:13:14.000,FREE_CHEST,daily_free_chest_popup,true,0.015802
ad_242b68f5342342a8,acc_00006c5bf3f44d11,2026-03-13 14:48:08.000,LUCKY_SPIN,daily_spin_popup,true,0.015105
ad_80569204234b445b,acc_00006c5bf3f44d11,2026-03-13 14:51:45.000,SPEED_BUFF,idle_boost_popup,true,0.013832
ad_9840f7b07a634dcd,acc_00006c5bf3f44d11,2026-03-13 14:54:02.000,DOUBLE_OFFLINE,offline_reward_popup,true,0.017427
ad_f4f3aca0f5394047,acc_00006c5bf3f44d11,2026-03-13 14:56:45.000,FREE_CHEST,daily_free_chest_popup,true,0.016602
ad_addfdb001df743ef,acc_00006c5bf3f44d11,2026-03-14 21:52:29.000,SPEED_BUFF,idle_boost_popup,true,0.013546
ad_01ec4d81a10546ba,acc_00006c5bf3f44d11,2026-03-14 21:56:57.000,FREE_CHEST,daily_free_chest_popup,true,0.014679
ad_852cffe731024b8e,acc_00006c5bf3f44d11,2026-03-14 22:03:36.000,LUCKY_SPIN,daily_spin_popup,true,0.017453
ad_8452524726ca4701,acc_00006c5bf3f44d11,2026-03-14 22:04:15.000,DOUBLE_OFFLINE,offline_reward_popup,true,0.019413
ad_0f4279c796754130,acc_00006c5bf3f44d11,2026-03-14 23:07:13.000,REVIVE,battle_fail_revive_popup,true,0.020399
ad_78824a987a454fe3,acc_000200feba744ac2,2026-03-07 18:22:18.000,SPEED_BUFF,idle_boost_popup,true,0.012311
