"attempt_id","account_id","chapter_id","level_id","attempt_num","attempt_ts","attempt_result","time_to_result_sec","revive_count","app_version"
att_d49ed937d1cc4c7f,acc_00000f89ef0640d5,1,1,1,2026-03-06 14:00:07.000,WIN,59,0,"1.0.0"
att_552f2359b47946c1,acc_00000f89ef0640d5,1,2,1,2026-03-06 14:01:35.000,WIN,58,0,"1.0.0"
att_5f8c7017c67044d9,acc_00000f89ef0640d5,1,3,1,2026-03-06 14:04:43.000,WIN,35,0,"1.0.0"
att_73acc81278df4c9e,acc_00000f89ef0640d5,1,4,1,2026-03-06 14:06:45.000,WIN,30,0,"1.0.0"
att_c85f595095e54ef3,acc_00000f89ef0640d5,1,5,1,2026-03-06 14:08:14.000,WIN,41,0,"1.0.0"
att_2b8109979ed34e1a,acc_00000f89ef0640d5,1,6,1,2026-03-06 14:10:40.000,WIN,47,0,"1.0.0"
att_57aef95d81ed429e,acc_00000f89ef0640d5,1,7,1,2026-03-06 14:11:51.000,WIN,40,0,"1.0.0"
att_45dcd0fc7adb4b0a,acc_00000f89ef0640d5,1,8,1,2026-03-06 18:35:26.000,WIN,39,0,"1.0.0"
att_cc8b1c343f744af2,acc_00000f89ef0640d5,1,9,1,2026-03-06 18:36:34.000,WIN,57,0,"1.0.0"
att_4f3560ee188a49f5,acc_00000f89ef0640d5,1,10,1,2026-03-06 18:38:57.000,WIN,63,0,"1.0.0"
att_ca8b3da78f9849c5,acc_00000f89ef0640d5,1,11,1,2026-03-06 18:41:55.000,WIN,34,0,"1.0.0"
att_92bef00669e74ad2,acc_00000f89ef0640d5,1,12,1,2026-03-06 18:44:03.000,WIN,39,0,"1.0.0"
att_22387c518feb4c99,acc_00000f89ef0640d5,1,13,1,2026-03-06 21:43:52.000,WIN,37,0,"1.0.0"
att_205a5ad0a888445c,acc_00000f89ef0640d5,1,14,1,2026-03-06 21:45:00.000,WIN,64,0,"1.0.0"
att_086b7b33b12542ef,acc_00000f89ef0640d5,1,15,1,2026-03-06 21:46:31.000,WIN,43,0,"1.0.0"
att_bcc4beafb1e246a9,acc_00000f89ef0640d5,1,16,1,2026-03-06 21:47:40.000,WIN,38,0,"1.0.0"
att_83b9a021c1f041fa,acc_00000f89ef0640d5,1,17,1,2026-03-06 21:48:48.000,WIN,45,0,"1.0.0"
