"session_id","account_id","user_id","session_start_ts","session_end_ts","session_duration_sec","end_reason","crash_count","app_version"
ses_e64ac14936dd4667,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-06 13:56:07.000,2026-03-06 14:26:26.000,1819,FORCE_CLOSE,0,"1.0.0"
ses_fd22a21451324373,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-06 18:33:26.000,2026-03-06 18:52:52.000,1166,FORCE_CLOSE,0,"1.0.0"
ses_4e70e2c0a3714766,acc_00000f89ef0640d5,usr_e0a8557bcb1e4dcf,2026-03-06 21:38:52.000,2026-03-06 21:58:39.000,1187,TIMEOUT,0,"1.0.0"
ses_0d25d94fe1da473d,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-07 00:26:39.000,2026-03-07 00:53:38.000,1619,FORCE_CLOSE,0,"1.0.0"
ses_463ca215c7584647,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-07 04:01:38.000,2026-03-07 04:19:08.000,1050,FORCE_CLOSE,1,"1.0.0"
ses_10eaac5f45b04db7,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-07 09:56:06.000,2026-03-07 10:31:39.000,2133,TIMEOUT,0,"1.0.0"
ses_dd58cdcfa7c14339,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-07 13:41:39.000,2026-03-07 14:06:11.000,1472,FORCE_CLOSE,0,"1.0.0"
ses_c5ec8e3621b641f0,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-07 18:03:11.000,2026-03-07 18:25:21.000,1330,FORCE_CLOSE,0,"1.0.0"
ses_353a2a47fffd4025,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-07 20:54:21.000,2026-03-07 21:20:09.000,1548,FORCE_CLOSE,0,"1.0.0"
ses_cb6da314d2974e00,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-09 17:42:17.000,2026-03-09 17:53:03.000,646,TIMEOUT,0,"1.0.0"
ses_88ad43e038fb4559,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-09 21:03:03.000,2026-03-09 21:27:48.000,1485,TIMEOUT,0,"1.0.0"
ses_92c31cefa0a84fea,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-10 22:01:09.000,2026-03-10 22:23:45.000,1356,FORCE_CLOSE,0,"1.0.0"
ses_6fd8accc05334084,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-11 01:48:45.000,2026-03-11 02:14:59.000,1574,TIMEOUT,0,"1.0.0"
ses_d75b8bdf62b042e0,acc_00000f89ef0640d5,usr_da9774e4e7f34e63,2026-03-11 03:42:59.000,2026-03-11 04:13:23.000,1824,FORCE_CLOSE,0,"1.0.0"
ses_c819efa1f6bb4b1f,acc_00006af6462b436e,usr_60deec6278cd4ad0,2026-03-12 20:29:58.000,2026-03-12 20:54:03.000,1445,TIMEOUT,0,"1.0.0"
ses_80a6760fea714344,acc_00006af6462b436e,usr_60deec6278cd4ad0,2026-03-12 21:19:03.000,2026-03-12 21:43:01.000,1438,FORCE_CLOSE,0,"1.0.0"
ses_739734be0c044713,acc_00006af6462b436e,usr_60deec6278cd4ad0,2026-03-12 22:26:01.000,2026-03-12 22:47:51.000,1310,FORCE_CLOSE,0,"1.0.0"
ses_67fefce1b4404dbb,acc_00006af6462b436e,usr_b0b6dd9bed6b4cf0,2026-03-13 02:51:51.000,2026-03-13 03:14:41.000,1370,FORCE_CLOSE,0,"1.0.0"
ses_6d5212aa47d34b68,acc_00006af6462b436e,usr_60deec6278cd4ad0,2026-03-13 09:09:39.000,2026-03-13 09:28:01.000,1102,FORCE_CLOSE,0,"1.0.0"
ses_06ada18af7e34061,acc_00006af6462b436e,usr_60deec6278cd4ad0,2026-03-13 10:47:01.000,2026-03-13 11:09:16.000,1335,FORCE_CLOSE,0,"1.0.0"
ses_58e4b561bc3446c7,acc_00006af6462b436e,usr_60deec6278cd4ad0,2026-03-13 12:50:16.000,2026-03-13 13:24:43.000,2067,TIMEOUT,0,"1.0.0"
ses_ad3cadd834c942d5,acc_00006c5bf3f44d11,usr_838e606f38264a49,2026-03-11 09:51:43.000,2026-03-11 10:02:57.000,674,FORCE_CLOSE,0,"1.0.0"
ses_1e695347414b48a8,acc_00006c5bf3f44d11,usr_838e606f38264a49,2026-03-11 12:15:57.000,2026-03-11 12:33:55.000,1078,FORCE_CLOSE,0,"1.0.0"
ses_b9cf904a95f145a5,acc_00006c5bf3f44d11,usr_838e606f38264a49,2026-03-11 15:57:55.000,2026-03-11 16:30:43.000,1968,FORCE_CLOSE,0,"1.0.0"
ses_a431a7a0acdb4f54,acc_00006c5bf3f44d11,usr_838e606f38264a49,2026-03-11 18:23:43.000,2026-03-11 18:47:20.000,1417,TIMEOUT,0,"1.0.0"
ses_57c227ff57774863,acc_00006c5bf3f44d11,usr_c113f45e24a94dc4,2026-03-12 12:00:06.000,2026-03-12 12:20:46.000,1240,FORCE_CLOSE,0,"1.0.0"
ses_8a6072ad29344e1d,acc_00006c5bf3f44d11,usr_838e606f38264a49,2026-03-12 15:27:46.000,2026-03-12 15:50:19.000,1353,FORCE_CLOSE,0,"1.0.0"
ses_9055871f57f64c3d,acc_00006c5bf3f44d11,usr_838e606f38264a49,2026-03-12 19:18:19.000,2026-03-12 19:31:16.000,777,FORCE_CLOSE,0,"1.0.0"
ses_5ad82556c9c64b56,acc_00006c5bf3f44d11,usr_838e606f38264a49,2026-03-13 14:43:58.000,2026-03-13 15:22:10.000,2292,FORCE_CLOSE,0,"1.0.0"
ses_d3e3957290074847,acc_00006c5bf3f44d11,usr_838e606f38264a49,2026-03-13 17:08:10.000,2026-03-13 17:37:12.000,1742,FORCE_CLOSE,0,"1.0.0"
ses_ab564848ffe245f9,acc_00006c5bf3f44d11,usr_31f7969f5c394226,2026-03-13 20:46:12.000,2026-03-13 21:25:58.000,2386,TIMEOUT,1,"1.0.0"
